age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
28,9.0,0,2.0,1,1055,1,1,1.0,28,1,196,1,-1,0,0.0,1
36,4.0,1,2.0,1,520,2,1,0.0,23,5,110,2,-1,0,0.0,1
38,2.0,0,3.0,1,1314,2,2,1.0,16,7,378,2,-1,0,0.0,1
41,9.0,1,3.0,1,28,2,1,1.0,4,2,358,2,-1,0,0.0,1
27,2.0,0,3.0,1,290,1,1,1.0,10,8,88,1,-1,0,0.0,1
50,7.0,1,2.0,1,2362,2,2,1.0,23,7,59,4,-1,0,0.0,1
27,4.0,1,2.0,1,106,2,1,0.0,8,5,207,2,-1,0,0.0,1
52,10.0,2,1.0,1,337,1,1,1.0,28,1,130,1,-1,0,0.0,1
34,4.0,1,1.0,1,336,2,1,0.0,21,5,713,4,-1,0,0.0,1
31,2.0,1,2.0,1,510,2,1,0.0,21,5,117,3,-1,0,0.0,1
53,4.0,2,2.0,1,145,2,1,0.0,8,5,193,1,-1,0,0.0,1
41,4.0,1,1.0,1,8,2,1,1.0,15,7,155,2,-1,0,0.0,1
45,4.0,1,2.0,1,430,1,2,1.0,21,8,140,2,-1,0,0.0,1
49,9.0,1,3.0,1,-471,2,1,1.0,20,11,77,3,185,7,1.0,1
31,4.0,1,2.0,1,1716,2,1,1.0,13,4,542,2,340,2,2.0,1
31,6.0,1,2.0,1,10,1,1,1.0,15,7,156,4,-1,0,0.0,1
37,1.0,0,3.0,1,146,2,1,1.0,17,4,135,1,336,3,1.0,1
47,4.0,1,1.0,1,373,2,1,1.0,11,5,480,2,-1,0,0.0,1
41,2.0,0,2.0,1,2919,2,1,0.0,16,5,329,3,-1,0,0.0,1
39,1.0,1,2.0,1,2445,1,1,0.0,16,6,303,5,-1,0,0.0,1
34,7.0,1,2.0,1,-85,2,1,1.0,8,5,129,4,-1,0,0.0,1
30,4.0,0,1.0,1,395,1,1,1.0,21,11,429,1,-1,0,0.0,1
40,4.0,1,2.0,1,59,2,1,0.0,13,5,420,1,-1,0,0.0,1
48,3.0,1,2.0,1,151,1,1,1.0,16,7,191,1,-1,0,0.0,1
48,4.0,2,2.0,1,2071,1,1,1.0,14,5,127,1,-1,0,0.0,1
58,7.0,1,1.0,1,443,1,1,2.0,6,2,41,2,204,1,1.0,1
34,10.0,1,3.0,1,0,1,1,1.0,26,5,141,1,188,1,1.0,1
39,1.0,1,3.0,1,141,2,1,1.0,13,5,788,2,331,6,2.0,1
59,5.0,1,3.0,1,3843,1,1,1.0,11,8,104,4,-1,0,0.0,1
53,7.0,1,1.0,1,6,1,1,1.0,22,8,80,2,-1,0,0.0,1
48,1.0,1,3.0,1,0,2,1,0.0,6,6,300,5,-1,0,0.0,1
36,1.0,1,3.0,1,481,2,1,1.0,13,5,215,1,175,3,1.0,1
30,7.0,1,0.0,1,280,2,2,0.0,28,5,674,2,-1,0,0.0,1
32,2.0,0,3.0,1,471,1,1,1.0,14,1,67,1,-1,0,0.0,1
39,7.0,1,1.0,1,276,2,2,1.0,13,5,628,1,-1,0,0.0,1
32,1.0,0,3.0,1,1047,2,1,1.0,13,8,203,6,-1,0,0.0,1
31,1.0,0,3.0,1,949,2,1,1.0,28,7,52,7,-1,0,0.0,1
33,2.0,1,2.0,1,4790,2,1,1.0,20,4,137,1,272,2,1.0,1
40,7.0,2,2.0,1,-81,1,2,1.0,23,7,186,1,-1,0,0.0,1
47,2.0,0,2.0,1,58,1,1,2.0,5,2,33,1,-1,0,0.0,1
36,1.0,0,3.0,1,2163,1,1,1.0,5,6,317,1,-1,0,0.0,1
32,1.0,1,3.0,1,312,1,1,1.0,11,8,67,4,-1,0,0.0,1
50,1.0,1,3.0,1,964,2,1,0.0,6,5,323,1,-1,0,0.0,1
57,1.0,1,3.0,1,113,1,1,1.0,3,2,191,2,-1,0,0.0,1
53,4.0,1,2.0,1,1140,2,1,0.0,15,5,241,32,-1,0,0.0,1
48,4.0,2,1.0,1,0,1,1,0.0,6,6,248,2,-1,0,0.0,1
42,4.0,2,2.0,1,198,1,1,1.0,15,5,133,1,-1,0,0.0,1
42,10.0,0,2.0,1,284,2,1,1.0,17,4,134,3,-1,0,0.0,1
33,4.0,1,1.0,1,1165,2,1,0.0,21,5,420,2,-1,0,0.0,1
42,1.0,1,2.0,1,372,2,1,2.0,31,7,130,8,-1,0,0.0,1
39,1.0,0,3.0,1,375,2,1,0.0,8,5,66,2,-1,0,0.0,1
32,6.0,0,2.0,1,613,2,1,1.0,2,2,88,1,-1,0,0.0,1
55,10.0,1,1.0,1,16,1,1,0.0,20,6,64,1,-1,0,0.0,1
44,4.0,1,1.0,1,976,2,1,1.0,11,5,164,2,-1,0,0.0,1
46,1.0,1,3.0,1,466,2,1,1.0,31,7,109,8,-1,0,0.0,1
35,1.0,1,3.0,1,24,2,1,1.0,20,8,174,2,-1,0,0.0,1
39,9.0,0,2.0,1,2208,1,1,2.0,22,5,23,2,-1,0,0.0,1
30,2.0,0,2.0,1,2573,2,1,0.0,5,5,67,2,-1,0,0.0,1
53,7.0,1,3.0,1,-3,1,1,1.0,8,8,133,2,-1,0,0.0,1
35,8.0,0,3.0,1,398,1,1,1.0,5,7,101,3,-1,0,0.0,1
30,2.0,0,2.0,1,1286,1,1,2.0,28,8,44,12,-1,0,0.0,1
32,2.0,1,2.0,1,524,1,1,1.0,5,8,493,1,-1,0,0.0,1
34,2.0,0,2.0,1,2131,2,1,1.0,13,5,53,1,-1,0,0.0,1
39,2.0,1,2.0,1,211,1,1,2.0,6,2,53,2,-1,0,0.0,1
47,4.0,1,1.0,1,673,1,2,1.0,14,8,106,6,-1,0,0.0,1
50,6.0,1,2.0,1,326,2,1,1.0,11,5,124,1,369,2,1.0,1
36,1.0,1,3.0,1,0,2,1,1.0,29,1,86,1,237,17,2.0,1
34,6.0,2,2.0,1,0,1,1,1.0,10,7,268,1,-1,0,0.0,1
38,7.0,1,1.0,2,1,2,1,1.0,17,7,169,7,-1,0,0.0,1
30,4.0,0,2.0,1,191,1,1,1.0,25,7,66,2,-1,0,0.0,1
33,7.0,2,2.0,1,2358,2,1,1.0,20,4,529,3,-1,0,0.0,1
39,1.0,0,3.0,1,313,1,2,1.0,29,1,118,5,196,1,2.0,1
26,4.0,0,2.0,1,1,2,1,1.0,22,7,36,2,-1,0,0.0,1
67,5.0,1,1.0,1,2,1,1,1.0,28,10,1118,1,-1,0,0.0,1
30,1.0,0,3.0,1,528,2,1,0.0,8,5,145,4,-1,0,0.0,1
38,7.0,2,2.0,1,710,2,1,1.0,18,5,1880,2,-1,0,0.0,1
27,1.0,0,2.0,1,924,2,1,1.0,3,2,84,1,-1,0,0.0,1
38,2.0,2,2.0,1,0,2,1,1.0,16,4,867,1,-1,0,0.0,1
58,7.0,0,2.0,1,1430,2,1,1.0,20,4,861,6,321,5,1.0,1
31,7.0,1,2.0,1,272,2,1,0.0,13,5,133,12,-1,0,0.0,1
34,6.0,0,2.0,1,5057,2,1,1.0,19,11,73,1,-1,0,0.0,1
34,1.0,2,3.0,1,13204,2,2,1.0,20,11,197,2,-1,0,0.0,1
58,5.0,1,2.0,1,610,2,1,0.0,6,6,651,1,-1,0,0.0,1
26,4.0,0,2.0,1,786,2,2,0.0,14,5,103,5,-1,0,0.0,1
33,2.0,1,2.0,1,6419,1,1,1.0,7,8,419,3,-1,0,0.0,1
57,7.0,1,2.0,1,5486,2,1,1.0,11,5,86,7,285,3,1.0,1
35,4.0,1,2.0,1,270,2,2,1.0,6,4,332,2,335,1,1.0,1
41,7.0,0,1.0,1,5907,2,1,1.0,7,5,198,1,167,5,1.0,1
48,1.0,1,2.0,1,-1157,1,2,1.0,17,11,125,2,-1,0,0.0,1
38,10.0,1,2.0,1,0,2,1,0.0,6,5,59,3,-1,0,0.0,1
30,2.0,2,2.0,1,3028,2,1,1.0,28,8,65,5,-1,0,0.0,1
32,1.0,1,3.0,1,124,1,1,0.0,27,5,193,1,-1,0,0.0,1
38,1.0,1,3.0,1,7255,2,1,1.0,20,4,410,2,-1,0,0.0,1
42,2.0,1,2.0,1,234,1,1,1.0,4,2,765,2,-1,0,0.0,1
47,4.0,1,1.0,1,205,2,1,0.0,8,5,128,2,-1,0,0.0,1
26,7.0,0,2.0,1,-72,2,1,0.0,30,6,82,9,-1,0,0.0,1
45,6.0,0,2.0,1,946,2,1,1.0,13,4,754,3,143,6,1.0,1
29,1.0,0,3.0,1,42,2,1,0.0,26,6,91,4,-1,0,0.0,1
40,2.0,1,2.0,1,4186,1,1,1.0,11,8,129,1,-1,0,0.0,1
35,9.0,0,2.0,1,221,1,1,1.0,29,1,374,1,-1,0,0.0,1
31,7.0,1,2.0,1,891,2,1,0.0,21,5,44,3,-1,0,0.0,1
60,5.0,1,1.0,1,17413,1,1,0.0,9,6,200,1,-1,0,0.0,1
51,4.0,1,1.0,1,230,2,1,1.0,17,11,174,1,195,1,1.0,1
56,1.0,1,3.0,1,3172,2,1,1.0,5,2,139,1,-1,0,0.0,1
50,1.0,1,3.0,1,1612,1,1,1.0,15,9,188,1,92,4,3.0,1
34,1.0,0,3.0,1,1009,2,1,1.0,12,8,68,2,-1,0,0.0,1
32,7.0,0,2.0,1,187,2,1,0.0,29,5,315,1,-1,0,0.0,1
48,1.0,1,3.0,1,288,1,1,1.0,18,8,585,3,-1,0,0.0,1
45,4.0,2,1.0,1,1805,1,1,1.0,7,7,758,1,-1,0,0.0,1
59,4.0,1,2.0,1,104,2,1,0.0,2,6,92,5,-1,0,0.0,1
54,1.0,1,3.0,1,3795,2,2,1.0,21,7,381,1,-1,0,0.0,1
23,4.0,1,1.0,1,-213,1,1,0.0,13,5,165,2,-1,0,0.0,1
21,2.0,0,2.0,1,519,1,1,0.0,4,10,5,1,-1,0,0.0,1
26,7.0,1,2.0,1,54,2,1,0.0,13,5,116,1,-1,0,0.0,1
39,9.0,0,2.0,1,804,1,1,1.0,21,12,193,8,203,1,3.0,1
28,4.0,1,1.0,1,115,2,1,0.0,28,5,78,4,-1,0,0.0,1
45,4.0,1,1.0,1,0,2,1,2.0,24,7,32,1,-1,0,0.0,1
28,4.0,0,2.0,1,56,2,1,0.0,23,5,66,1,-1,0,0.0,1
41,2.0,1,2.0,1,64,2,2,0.0,8,5,210,2,-1,0,0.0,1
60,5.0,2,2.0,1,1382,1,1,1.0,30,7,112,10,-1,0,0.0,1
34,2.0,1,2.0,1,-346,1,1,1.0,13,8,136,4,-1,0,0.0,1
31,7.0,0,2.0,1,0,2,1,1.0,17,4,815,2,-1,0,0.0,1
36,6.0,0,3.0,1,918,2,1,1.0,16,4,127,2,-1,0,0.0,1
35,1.0,1,3.0,1,2801,2,1,1.0,19,11,70,2,111,2,1.0,1
60,4.0,1,1.0,1,93,1,2,0.0,27,5,125,4,-1,0,0.0,1
30,1.0,0,2.0,1,2143,2,2,1.0,18,8,514,10,-1,0,0.0,1
34,7.0,0,2.0,1,215,1,1,1.0,28,7,56,5,-1,0,0.0,1
37,1.0,0,3.0,1,767,1,1,1.0,22,8,160,2,-1,0,0.0,1
46,2.0,2,2.0,2,-1361,2,2,1.0,18,11,78,1,-1,0,0.0,1
38,1.0,1,3.0,1,0,1,1,1.0,5,2,214,2,-1,0,0.0,1
55,2.0,1,3.0,1,639,2,1,2.0,13,5,992,5,370,3,2.0,1
34,4.0,1,0.0,1,11,2,1,1.0,8,4,233,1,-1,0,0.0,1
60,2.0,1,2.0,1,21,1,1,2.0,9,2,172,4,-1,0,0.0,1
38,2.0,0,2.0,1,275,2,1,1.0,28,1,52,1,-1,0,0.0,1
48,5.0,0,1.0,1,0,1,1,0.0,20,6,9,16,-1,0,0.0,1
28,1.0,0,3.0,1,6791,1,1,2.0,9,8,361,1,46,35,1.0,1
40,6.0,0,2.0,1,118,2,1,0.0,8,5,383,3,-1,0,0.0,1
42,1.0,1,2.0,1,1079,1,1,1.0,19,8,117,6,-1,0,0.0,1
30,1.0,0,3.0,1,1456,2,1,1.0,20,11,227,1,-1,0,0.0,1
26,2.0,1,2.0,1,351,2,1,0.0,2,6,758,3,-1,0,0.0,1
59,1.0,1,3.0,1,315,1,1,1.0,7,9,98,2,-1,0,0.0,1
44,2.0,1,1.0,1,7800,2,1,1.0,19,11,250,1,-1,0,0.0,1
32,2.0,0,3.0,1,5204,1,1,1.0,8,8,31,2,-1,0,0.0,1
56,7.0,1,2.0,1,17,1,2,1.0,25,8,342,5,-1,0,0.0,1
57,5.0,1,2.0,1,63,1,1,1.0,27,8,91,2,-1,0,0.0,1
39,4.0,1,1.0,1,1046,1,1,0.0,19,6,112,4,-1,0,0.0,1
33,1.0,2,3.0,1,0,1,1,1.0,13,8,305,2,-1,0,0.0,1
51,4.0,1,1.0,2,-17,1,1,1.0,27,8,134,6,-1,0,0.0,1
