BMI_CLASS,UNIT_NUM,STUB_NAME_NUM,STUB_LABEL_NUM,YEAR_NUM,AGE_NUM,ESTIMATE,SE,FLAG
1,1,1,1.1,1,1.0,41.6,0.8,0
1,1,1,1.1,2,1.0,33.0,0.8,0
1,1,1,1.1,3,1.0,32.3,0.7,0
1,1,1,1.1,4,1.0,31.6,0.8,0
1,1,1,1.1,5,1.0,30.8,0.7,0
1,1,1,1.1,6,1.0,29.8,0.7,0
1,1,1,1.1,7,1.0,29.6,0.9,0
1,1,1,1.1,8,1.0,28.9,0.8,0
1,1,1,1.1,9,1.0,27.7,0.9,0
1,1,1,1.1,10,1.0,26.0,1.0,1
1,1,2,2.1,1,1.0,37.9,1.0,0
1,1,2,2.1,2,1.0,30.2,0.9,0
1,1,2,2.1,3,1.0,28.3,0.9,0
1,1,2,2.1,4,1.0,26.6,1.0,0
1,1,2,2.1,5,1.0,26.1,0.8,0
1,1,2,2.1,6,1.0,25.7,1.0,0
1,1,2,2.1,7,1.0,26.2,1.2,0
1,1,2,2.1,8,1.0,26.0,0.9,0
1,1,2,2.1,9,1.0,24.2,0.9,0
1,1,2,2.1,10,1.0,22.5,1.1,1
1,1,2,2.2,1,1.0,45.0,1.0,0
1,1,2,2.2,2,1.0,35.7,1.2,0
1,1,2,2.2,3,1.0,36.1,1.2,0
1,1,2,2.2,4,1.0,36.5,1.2,0
1,1,2,2.2,5,1.0,35.2,1.0,0
1,1,2,2.2,6,1.0,33.7,0.9,0
1,1,2,2.2,7,1.0,32.8,1.0,0
1,1,2,2.2,8,1.0,31.7,1.0,0
1,1,2,2.2,9,1.0,31.0,1.2,0
1,1,2,2.2,10,1.0,29.4,1.2,1
1,1,3,3.11,1,1.0,43.1,1.0,0
1,1,3,3.11,2,1.0,34.6,1.1,0
1,1,3,3.11,3,1.0,33.9,0.9,0
1,1,3,3.11,4,1.0,33.2,1.1,0
1,1,3,3.11,5,1.0,32.1,1.0,0
1,1,3,3.11,6,1.0,31.4,1.0,0
1,1,3,3.11,7,1.0,31.2,1.2,0
1,1,3,3.11,8,1.0,30.0,1.1,0
1,1,3,3.11,9,1.0,28.8,0.9,0
1,1,3,3.11,10,1.0,27.8,1.2,1
1,1,4,3.111,1,1.0,37.3,1.1,0
1,1,4,3.111,2,1.0,29.6,1.2,0
1,1,4,3.111,3,1.0,28.0,1.1,0
1,1,4,3.111,4,1.0,26.8,1.2,0
1,1,4,3.111,5,1.0,26.0,1.0,0
1,1,4,3.111,6,1.0,25.5,1.4,0
1,1,4,3.111,7,1.0,26.2,1.5,0
1,1,4,3.111,8,1.0,25.6,1.2,0
1,1,4,3.111,9,1.0,23.6,1.0,0
1,1,4,3.111,10,1.0,23.4,1.4,1
1,1,4,3.112,1,1.0,48.7,1.3,0
1,1,4,3.112,2,1.0,39.5,1.6,0
1,1,4,3.112,3,1.0,39.8,1.5,0
1,1,4,3.112,4,1.0,39.6,1.7,0
1,1,4,3.112,5,1.0,37.8,1.6,0
1,1,4,3.112,6,1.0,36.9,1.3,0
1,1,4,3.112,7,1.0,36.0,1.4,0
1,1,4,3.112,8,1.0,34.3,1.4,0
1,1,4,3.112,9,1.0,33.8,1.4,0
1,1,4,3.112,10,1.0,31.9,1.7,1
1,1,3,3.12,1,1.0,33.9,0.9,0
1,1,3,3.12,2,1.0,27.6,1.0,0
1,1,3,3.12,3,1.0,24.2,1.1,0
1,1,3,3.12,4,1.0,22.7,1.1,0
1,1,3,3.12,5,1.0,23.3,1.0,0
1,1,3,3.12,6,1.0,22.7,0.8,0
1,1,3,3.12,7,1.0,21.7,0.9,0
1,1,3,3.12,8,1.0,22.0,1.0,0
1,1,3,3.12,9,1.0,22.5,1.1,0
1,1,3,3.12,10,1.0,22.4,1.1,1
1,1,4,3.121,1,1.0,40.1,1.2,0
1,1,4,3.121,2,1.0,34.7,1.8,0
1,1,4,3.121,3,1.0,30.8,2.0,0
1,1,4,3.121,4,1.0,27.0,2.0,0
1,1,4,3.121,5,1.0,26.7,1.6,0
1,1,4,3.121,6,1.0,28.5,1.1,0
1,1,4,3.121,7,1.0,28.0,1.1,0
1,1,4,3.121,8,1.0,29.0,1.3,0
1,1,4,3.121,9,1.0,28.4,1.6,0
1,1,4,3.121,10,1.0,26.4,1.7,1
1,1,4,3.122,1,1.0,29.2,1.2,0
1,1,4,3.122,2,1.0,21.6,1.4,0
1,1,4,3.122,3,1.0,18.9,1.5,0
1,1,4,3.122,4,1.0,19.2,1.5,0
1,1,4,3.122,5,1.0,20.4,1.3,0
1,1,4,3.122,6,1.0,17.9,1.1,0
1,1,4,3.122,7,1.0,16.4,1.1,0
1,1,4,3.122,8,1.0,16.0,1.2,0
1,1,4,3.122,9,1.0,17.6,1.2,0
1,1,4,3.122,10,1.0,19.2,1.2,1
1,1,3,3.13,1,1.0,0.0,0.0,2
1,1,3,3.13,2,1.0,0.0,0.0,2
1,1,3,3.13,3,1.0,0.0,0.0,2
1,1,3,3.13,4,1.0,0.0,0.0,2
1,1,3,3.13,5,1.0,0.0,0.0,2
1,1,3,3.13,6,1.0,0.0,0.0,2
1,1,3,3.13,7,1.0,0.0,0.0,2
1,1,3,3.13,8,1.0,55.7,1.3,0
1,1,3,3.13,9,1.0,53.8,1.2,0
1,1,3,3.13,10,1.0,48.1,1.3,1
1,1,4,3.131,1,1.0,0.0,0.0,2
1,1,4,3.131,2,1.0,0.0,0.0,2
1,1,4,3.131,3,1.0,0.0,0.0,2
1,1,4,3.131,4,1.0,0.0,0.0,2
1,1,4,3.131,5,1.0,0.0,0.0,2
1,1,4,3.131,6,1.0,0.0,0.0,2
1,1,4,3.131,7,1.0,0.0,0.0,2
1,1,4,3.131,8,1.0,50.2,2.2,0
1,1,4,3.131,9,1.0,47.4,1.9,0
1,1,4,3.131,10,1.0,41.9,1.7,1
1,1,4,3.132,1,1.0,0.0,0.0,2
1,1,4,3.132,2,1.0,0.0,0.0,2
1,1,4,3.132,3,1.0,0.0,0.0,2
1,1,4,3.132,4,1.0,0.0,0.0,2
1,1,4,3.132,5,1.0,0.0,0.0,2
1,1,4,3.132,6,1.0,0.0,0.0,2
1,1,4,3.132,7,1.0,0.0,0.0,2
1,1,4,3.132,8,1.0,60.5,1.7,0
1,1,4,3.132,9,1.0,59.3,1.7,0
1,1,4,3.132,10,1.0,53.7,1.8,1
1,1,3,3.24,1,1.0,0.0,0.0,2
1,1,3,3.24,2,1.0,0.0,0.0,2
1,1,3,3.24,3,1.0,0.0,0.0,2
1,1,3,3.24,4,1.0,0.0,0.0,2
1,1,3,3.24,5,1.0,0.0,0.0,2
1,1,3,3.24,6,1.0,21.1,1.1,0
1,1,3,3.24,7,1.0,21.0,1.0,0
1,1,3,3.24,8,1.0,20.9,1.2,0
1,1,3,3.24,9,1.0,18.8,1.1,0
1,1,3,3.24,10,1.0,16.5,0.8,1
1,1,4,3.241,1,1.0,0.0,0.0,2
1,1,4,3.241,2,1.0,0.0,0.0,2
1,1,4,3.241,3,1.0,0.0,0.0,2
1,1,4,3.241,4,1.0,0.0,0.0,2
1,1,4,3.241,5,1.0,0.0,0.0,2
1,1,4,3.241,6,1.0,19.0,1.4,0
1,1,4,3.241,7,1.0,19.3,1.4,0
1,1,4,3.241,8,1.0,19.5,1.5,0
1,1,4,3.241,9,1.0,17.5,1.3,0
1,1,4,3.241,10,1.0,13.7,1.0,1
1,1,4,3.242,1,1.0,0.0,0.0,2
1,1,4,3.242,2,1.0,0.0,0.0,2
1,1,4,3.242,3,1.0,0.0,0.0,2
1,1,4,3.242,4,1.0,0.0,0.0,2
1,1,4,3.242,5,1.0,0.0,0.0,2
1,1,4,3.242,6,1.0,23.5,1.2,0
1,1,4,3.242,7,1.0,22.9,1.1,0
1,1,4,3.242,8,1.0,22.3,1.6,0
1,1,4,3.242,9,1.0,20.4,1.6,0
1,1,4,3.242,10,1.0,19.6,1.3,1
1,1,3,3.25,1,1.0,30.1,1.0,0
